"fid","longitude","latitude","BD","CEC","Fragm","Sand","Silt","Clay","N","OCD","pH","SOC","A00","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","A25","A26","A27","A28","A29","A30","A31","A32","A33","A34","A35","A36","A37","A38","A39","A40","A41","A42","A43","A44","A45","A46","A47","A48","A49","A50","A51","A52","A53","A54","A55","A56","A57","A58","A59","A60","A61","A62","A63"
1,-79.2469,-7.9443,1.3789,14.0107,15.8476,78.6073,13.4987,7.894,3.608,14.2995,7.8897,14.6405,-0.00498269896193772,0.130165321030373,0.124567474048443,0.0384467512495194,-0.103406382160707,-0.00221453287197232,0.153787004998078,0.119092656670511,-0.0199307958477509,0.130165321030373,0.153787004998078,0.310096116878124,-0.0415840061514802,0.0297731641676278,0.141730103806228,0.0984236831987697,-0.055363321799308,-0.192910419069589,-0.221453287197232,-0.0415840061514802,0.0271280276816609,0.141730103806228,-0.103406382160707,0.0797231833910035,-0.0415840061514802,0.192910419069589,-0.141730103806228,0.236462898885044,-0.00885813148788927,-0.0797231833910035,-0.00153787004998078,-0.0591157247212611,-0.108512110726644,-0.0384467512495194,0.055363321799308,0.267958477508651,0.0753556324490581,0.130165321030373,0.00301422529796232,0.0984236831987697,0.0711111111111111,-0.135886197616301,-0.0711111111111111,-0.0157477893118032,0.0415840061514802,-0.221453287197232,0.0984236831987697,-0.0669896193771626,0.0246059207996924,0.0888273740868896,-0.0177777777777778,0.0842137639369473,-0.0120569011918493,0.0797231833910035,0.103406382160707,-0.0984236831987697,-0.166336024605921,-0.0842137639369473,-0.318892733564014,0.147697039600154,0.141730103806228,-0.228896578239139,0.0753556324490581,0.0354325259515571
2,-79.1576,-7.7962,1.3778,16.3838,13.6934,72.9334,14.6973,12.3471,1.2915,16.4289,7.7778,15.1631,-0.0325413302575932,0.0888273740868896,0.0448442906574394,-0.013840830449827,-0.124567474048443,0.01039600153787,-0.0222068435217224,0.0935640138408305,-0.141730103806228,0.0448442906574394,0.267958477508651,0.166336024605921,-0.135886197616301,0.0797231833910035,0.0711111111111111,-0.00885813148788927,0.0384467512495194,-0.103406382160707,-0.0177777777777778,0.0753556324490581,0.0888273740868896,0.179377162629758,-0.130165321030373,-0.166336024605921,-0.135886197616301,-0.0711111111111111,-0.0984236831987697,0.0935640138408305,-0.0797231833910035,-0.0415840061514802,0.0888273740868896,0.0199307958477509,-0.147697039600154,-0.236462898885044,-0.0384467512495194,0.228896578239139,-0.0797231833910035,0.124567474048443,-0.153787004998078,0.301422529796232,0.0797231833910035,-0.113740868896578,-0.0482276047673972,-0.124567474048443,-0.135886197616301,-0.214133025759323,0.0842137639369473,-0.0842137639369473,0.0753556324490581,0.01039600153787,0.00615148019992311,0.221453287197232,0.0753556324490581,0.0482276047673972,0.0246059207996924,-0.0177777777777778,0.0177777777777778,-0.0448442906574394,-0.267958477508651,0.16,0.199861591695502,-0.25196462898885,0.0222068435217224,0.00885813148788927
3,-79.1554,-7.8294,1.412,14.2244,15.1933,72.2686,13.7515,13.9719,1.112,11.2035,7.8,8.5,0.01039600153787,0.0157477893118032,0.199861591695502,0.0711111111111111,-0.0517339484813533,-0.0669896193771626,0.0842137639369473,0.055363321799308,-0.0448442906574394,0.119092656670511,0.166336024605921,0.318892733564014,-0.0711111111111111,0.0935640138408305,0.153787004998078,0.0415840061514802,0.0199307958477509,-0.267958477508651,-0.153787004998078,-0.141730103806228,0.0753556324490581,0.124567474048443,-0.0753556324490581,0.0753556324490581,-0.0415840061514802,0.135886197616301,-0.0753556324490581,0.284444444444444,0.0629911572472126,-0.0888273740868896,-0.0157477893118032,-0.00221453287197232,-0.0629911572472126,-0.0888273740868896,0.0297731641676278,0.25196462898885,0.0222068435217224,0.0711111111111111,0.0199307958477509,0.130165321030373,0.108512110726644,-0.108512110726644,-0.0448442906574394,-0.108512110726644,-0.0120569011918493,-0.206935793925413,0.113740868896578,0.0222068435217224,-0.0354325259515571,0.0482276047673972,0.00615148019992311,0.119092656670511,0.0222068435217224,-0.055363321799308,0.103406382160707,-0.0984236831987697,-0.179377162629758,0.00153787004998078,-0.403598615916955,0.0297731641676278,0.153787004998078,-0.113740868896578,0.108512110726644,0.0384467512495194
4,-79.1703,-7.851,1.3859,15.5644,15.8976,74.23,16.2257,9.538,1.7369,14.2604,7.7081,13.0924,-0.0246059207996924,0.135886197616301,0.108512110726644,-0.108512110726644,-0.119092656670511,0.124567474048443,0.0297731641676278,0.192910419069589,-0.055363321799308,0.103406382160707,0.228896578239139,0.267958477508651,-0.0297731641676278,0.0984236831987697,0.179377162629758,0.147697039600154,-0.179377162629758,-0.108512110726644,-0.0753556324490581,-0.0482276047673972,-0.17279507881584,0.0842137639369473,-0.0415840061514802,-0.0711111111111111,-0.0984236831987697,0.103406382160707,-0.186082276047674,0.113740868896578,-0.113740868896578,-0.0482276047673972,0.0517339484813533,-0.0842137639369473,-0.108512110726644,-0.166336024605921,0.186082276047674,0.228896578239139,0.103406382160707,0.0797231833910035,-0.055363321799308,0.166336024605921,0.0297731641676278,-0.0629911572472126,-0.147697039600154,-0.0384467512495194,0.00153787004998078,-0.108512110726644,0.0384467512495194,-0.0297731641676278,0.0271280276816609,0.17279507881584,0.0157477893118032,0.166336024605921,-0.00221453287197232,0.00221453287197232,0.103406382160707,-0.0517339484813533,-0.0271280276816609,-0.103406382160707,-0.179377162629758,0.0629911572472126,0.25196462898885,-0.301422529796232,-0.013840830449827,-0.0199307958477509
5,-79.1352,-7.7923,1.4242,15.8709,15.3112,79.4715,12.1559,8.3859,1.007,11.2816,7.8867,7.3491,-0.0797231833910035,0.103406382160707,0.0888273740868896,-0.00301422529796232,-0.135886197616301,-0.0888273740868896,0.0354325259515571,0.119092656670511,-0.135886197616301,0.0246059207996924,0.153787004998078,0.267958477508651,-0.0591157247212611,0.0984236831987697,0.119092656670511,0.0157477893118032,0.0246059207996924,-0.135886197616301,-0.0711111111111111,0.0354325259515571,0.0415840061514802,0.206935793925413,-0.0482276047673972,-0.00885813148788927,-0.0448442906574394,0.0482276047673972,-0.166336024605921,0.130165321030373,0.0120569011918493,-0.130165321030373,0.0157477893118032,-0.013840830449827,-0.108512110726644,-0.124567474048443,0.124567474048443,0.199861591695502,0.0797231833910035,0.17279507881584,-0.0629911572472126,0.113740868896578,0.0842137639369473,-0.199861591695502,-0.0984236831987697,-0.0517339484813533,-0.0448442906574394,-0.236462898885044,0.124567474048443,-0.0177777777777778,0.0325413302575932,0.147697039600154,0.00055363321799308,0.206935793925413,0.103406382160707,0.0888273740868896,0.141730103806228,-0.013840830449827,-0.0448442906574394,-0.055363321799308,-0.41362552864283,0.0935640138408305,0.17279507881584,-0.244152249134948,0.0246059207996924,0.0669896193771626
6,-79.2273,-7.9795,1.3186,11.6431,17.4262,77.3972,15.3135,7.3881,3.757,14.6852,7.7243,19.7275,-0.0591157247212611,0.0669896193771626,0.0517339484813533,-0.0669896193771626,-0.17279507881584,0.0591157247212611,0.01039600153787,0.141730103806228,0.013840830449827,0.119092656670511,0.199861591695502,0.0842137639369473,-0.179377162629758,0.0482276047673972,0.0669896193771626,-0.0888273740868896,-0.0325413302575932,-0.0517339484813533,-0.0711111111111111,0.0222068435217224,0.0669896193771626,0.186082276047674,-0.179377162629758,-0.141730103806228,-0.0984236831987697,-0.0246059207996924,-0.16,0.055363321799308,-0.0711111111111111,-0.0384467512495194,0.108512110726644,0.0591157247212611,-0.0935640138408305,-0.186082276047674,0.0325413302575932,0.244152249134948,0.013840830449827,0.0842137639369473,-0.0842137639369473,0.221453287197232,0.0157477893118032,-0.141730103806228,-0.130165321030373,-0.0935640138408305,-0.0888273740868896,-0.199861591695502,0.124567474048443,-0.108512110726644,0.0888273740868896,0.130165321030373,0.0297731641676278,0.267958477508651,-0.055363321799308,0.119092656670511,0.0325413302575932,-0.0177777777777778,-0.0271280276816609,-0.135886197616301,-0.119092656670511,0.17279507881584,0.276139946174548,-0.327812379853902,0.103406382160707,0.01039600153787
7,-79.233,-7.9627,1.3898,12.809,16.5222,78.6978,12.7453,8.5569,3.5143,15.422,7.7,15.6517,-0.0222068435217224,0.113740868896578,0.103406382160707,-0.0354325259515571,-0.16,0.055363321799308,0.0384467512495194,0.228896578239139,-0.0177777777777778,0.0753556324490581,0.119092656670511,0.236462898885044,-0.0354325259515571,0.00153787004998078,0.055363321799308,0.0797231833910035,-0.130165321030373,-0.130165321030373,-0.0711111111111111,0.0669896193771626,-0.16,0.0669896193771626,-0.108512110726644,0.0591157247212611,-0.0753556324490581,0.228896578239139,-0.179377162629758,0.0842137639369473,-0.0711111111111111,-0.0517339484813533,-0.0591157247212611,-0.0629911572472126,-0.135886197616301,-0.0177777777777778,0.166336024605921,0.25196462898885,0.166336024605921,0.0384467512495194,-0.0669896193771626,0.119092656670511,0.0415840061514802,-0.0842137639369473,-0.113740868896578,-0.0325413302575932,-0.0222068435217224,-0.147697039600154,0.0199307958477509,-0.0984236831987697,0.0157477893118032,0.284444444444444,-0.0935640138408305,0.103406382160707,0.01039600153787,0.124567474048443,0.0591157247212611,-0.0935640138408305,-0.108512110726644,-0.130165321030373,-0.25196462898885,0.199861591695502,0.186082276047674,-0.310096116878124,0.00744329104190696,-0.0177777777777778
8,-79.1496,-7.8416,1.4097,14.0935,15.12,79.4771,12.8228,7.7159,1.0336,11.3269,7.8628,8.6939,-0.0753556324490581,-0.0222068435217224,0.0888273740868896,-0.0517339484813533,-0.130165321030373,0.01039600153787,-0.01039600153787,0.0935640138408305,-0.199861591695502,0.0888273740868896,0.179377162629758,0.17279507881584,-0.0842137639369473,0.113740868896578,0.055363321799308,0.0120569011918493,0.0935640138408305,-0.0711111111111111,0.0222068435217224,0.0629911572472126,0.0482276047673972,0.119092656670511,-0.0984236831987697,-0.135886197616301,-0.119092656670511,-0.00393694732795079,-0.199861591695502,0.0935640138408305,-0.0517339484813533,-0.00885813148788927,0.0177777777777778,-0.0325413302575932,-0.135886197616301,-0.284444444444444,0.113740868896578,0.141730103806228,-0.0842137639369473,0.0797231833910035,-0.17279507881584,0.276139946174548,-0.00885813148788927,-0.17279507881584,-0.141730103806228,-0.141730103806228,-0.130165321030373,-0.16,0.0888273740868896,0.0222068435217224,0.130165321030373,-0.00615148019992311,0.108512110726644,0.236462898885044,-0.0325413302575932,-0.0297731641676278,0.113740868896578,-0.0177777777777778,0.0157477893118032,-0.0935640138408305,-0.166336024605921,0.135886197616301,0.259900038446751,-0.284444444444444,0.0797231833910035,-0.108512110726644
9,-79.2193,-7.981,1.34,13.5954,17.5249,78.0981,15.0024,6.8769,3.5348,14.0162,7.7769,13.6722,-0.0157477893118032,0.00744329104190696,0.0199307958477509,-0.00153787004998078,-0.153787004998078,0.0177777777777778,0.0120569011918493,0.135886197616301,0.0325413302575932,0.108512110726644,0.244152249134948,0.166336024605921,-0.103406382160707,0.0669896193771626,0.0711111111111111,-0.0448442906574394,-0.0753556324490581,-0.0629911572472126,-0.141730103806228,-0.0246059207996924,0.0842137639369473,0.214133025759323,-0.141730103806228,-0.0120569011918493,-0.113740868896578,0.000246059207996924,-0.124567474048443,0.0935640138408305,-0.0297731641676278,-0.0797231833910035,0.0842137639369473,0.0384467512495194,-0.119092656670511,-0.135886197616301,-0.0711111111111111,0.292871972318339,0.0669896193771626,0.108512110726644,0.0246059207996924,0.267958477508651,0.103406382160707,-0.16,-0.0246059207996924,-0.0842137639369473,-0.0354325259515571,-0.259900038446751,0.0753556324490581,-0.0842137639369473,0.0711111111111111,0.0935640138408305,0.00055363321799308,0.206935793925413,0.0448442906574394,0.166336024605921,0.00301422529796232,-0.0797231833910035,-0.0888273740868896,-0.0935640138408305,-0.292871972318339,0.192910419069589,0.259900038446751,-0.179377162629758,0.119092656670511,0.0482276047673972
10,-79.1529,-7.8691,1.4273,12.3208,18.9,83.2197,9.4696,7.3106,1.54,10.3591,8,7.8362,0.0157477893118032,0.124567474048443,0.124567474048443,0.0271280276816609,-0.103406382160707,0.00393694732795079,0.108512110726644,0.0591157247212611,-0.113740868896578,0.113740868896578,0.153787004998078,0.310096116878124,-0.0797231833910035,0.0984236831987697,0.135886197616301,0.0842137639369473,-0.00301422529796232,-0.135886197616301,-0.17279507881584,-0.119092656670511,0.0482276047673972,0.16,-0.124567474048443,0.0888273740868896,-0.0354325259515571,0.147697039600154,-0.0888273740868896,0.244152249134948,0.0448442906574394,-0.130165321030373,0.00055363321799308,-0.0120569011918493,-0.0711111111111111,-0.147697039600154,0.0935640138408305,0.284444444444444,0.0222068435217224,0.108512110726644,-0.0199307958477509,0.16,0.0797231833910035,-0.103406382160707,-0.0797231833910035,-0.124567474048443,-0.00393694732795079,-0.17279507881584,0.0517339484813533,0.0199307958477509,0.00221453287197232,0.0888273740868896,-0.0448442906574394,0.153787004998078,0.0325413302575932,0.0271280276816609,0.124567474048443,-0.108512110726644,-0.0629911572472126,-0.0384467512495194,-0.383913879277201,0.0888273740868896,0.179377162629758,-0.206935793925413,0.0753556324490581,0.0297731641676278
